#,"Irrigation Flow", "Inlet Flow", "Discharge Flow",  Date/Time
1, "24.81", "25.40", "0.00", 2021-08-27 00:00:00
2, "18.09", "15.10", "0.00", 2021-08-28 00:00:00
3, "29.02", "26.18", "0.00", 2021-08-29 00:00:00
4, "13.63", "14.92", "0.00", 2021-08-30 00:00:00
5, "2.97", "4.27", "0.00", 2021-08-31 00:00:00
6, "2.90", "4.03", "0.00", 2021-09-01 00:00:00
7, "2.87", "3.79", "0.00", 2021-09-02 00:00:00
8, "2.83", "3.04", "0.00", 2021-09-03 00:00:00
9, "2.83", "4.40", "0.00", 2021-09-04 00:00:00
10, "10.99", "9.56", "0.00", 2021-09-05 00:00:00
11, "6.33", "8.90", "0.00", 2021-09-06 00:00:00
12, "8.61", "7.71", "0.00", 2021-09-07 00:00:00
13, "2.61", "3.71", "0.00", 2021-09-08 00:00:00
14, "9.95", "9.06", "0.00", 2021-09-09 00:00:00
15, "16.58", "17.25", "0.00", 2021-09-10 00:00:00
16, "0.23", "1.17", "0.00", 2021-09-11 00:00:00
17, "0.21", "1.32", "0.00", 2021-09-12 00:00:00
18, "0.19", "0.38", "0.00", 2021-09-13 00:00:00
19, "0.41", "1.40", "0.00", 2021-09-14 00:00:00
20, "0.19", "1.10", "0.00", 2021-09-15 00:00:00
21, "0.19", "1.33", "0.00", 2021-09-16 00:00:00
22, "0.19", "1.08", "0.00", 2021-09-17 00:00:00
23, "0.19", "1.04", "0.00", 2021-09-18 00:00:00
24, "0.17", "0.68", "0.00", 2021-09-19 00:00:00
25, "0.62", "1.45", "0.00", 2021-09-20 00:00:00
26, "0.49", "1.22", "0.00", 2021-09-21 00:00:00
27, "0.25", "1.18", "0.00", 2021-09-22 00:00:00
28, "0.24", "0.00", "0.00", 2021-09-23 00:00:00
29, "0.25", "0.04", "0.00", 2021-09-24 00:00:00
30, "0.23", "0.00", "0.00", 2021-09-25 00:00:00
31, "0.15", "0.00", "0.00", 2021-09-26 00:00:00
